rank,title,total ratings,installs,average rating,growth (30 days),category,5 star ratings,4 star ratings,3 star ratings,2 star ratings,1 star ratings,paid,Name,EU_Sales,Publisher,Genre,Year,Platform
535,Jackpot Party Casino Games: Spin FREE Casino Slots,925068,10.0 M,4,1.0,GAME CASINO,671012,153638,52961,14029,33425,FALSE,NBA Street,0.22,Electronic Arts,Sports,2001,PS2
536,Huuuge Casino™ Free Slots & Best Slot Machines 777,755734,10.0 M,4,0.4,GAME CASINO,533316,88102,42476,19261,72576,FALSE,Professor Layton and the Last Specter,1.47,Nintendo,Puzzle,2009,DS
537,DoubleU Casino - Free Slots,664469,10.0 M,4,0.6,GAME CASINO,458507,97014,48182,19338,41426,FALSE,Monster Hunter Tri,0.29,Nintendo,Role-Playing,2011,3DS
538,Jackpot Slot Machines - Slots Era™ Vegas Casino,649856,5.0 M,4,0.8,GAME CASINO,476204,106016,39009,8107,20518,FALSE,Jak II,0.74,Sony Computer Entertainment,Platform,2003,PS2
539,Caesars Slots: Casino Slots game,617349,10.0 M,4,0.9,GAME CASINO,424459,77519,39348,19359,56661,FALSE,inFAMOUS: Second Son,0.97,Sony Computer Entertainment,Action,2014,PS4
540,myVEGAS Slots: Las Vegas Casino Games & Slots,616294,10.0 M,4,0.0,GAME CASINO,457055,82563,30766,13683,32225,FALSE,Ratchet & Clank: Going Commando,0.83,Sony Computer Entertainment,Platform,2003,PS2
541,DH Texas Poker - Texas Hold'em,583815,10.0 M,4,0.0,GAME CASINO,380317,79701,41575,16718,65502,FALSE,Tekken 6,0.98,Namco Bandai Games,Fighting,2009,PS3
542,Gold Fish Casino Slots - FREE Slot Machine Games,556639,10.0 M,4,0.3,GAME CASINO,459497,44454,15369,7774,29543,FALSE,The Sims,1.12,Electronic Arts,Simulation,2003,PS2
543,BLACKJACK!,544905,10.0 M,4,0.0,GAME CASINO,392404,100738,26490,5663,19608,FALSE,Sonic and the Secret Rings,1.2,Sega,Platform,2007,Wii
544,Hit it Rich! Lucky Vegas Casino Slot Machine Game,493071,5.0 M,4,0.2,GAME CASINO,344195,68441,30992,14931,34510,FALSE,Saints Row: The Third,1.15,THQ,Action,2011,X360
545,Cash Frenzy™ Casino – Free Slots Games,485882,10.0 M,4,0.2,GAME CASINO,404060,44200,14354,6230,17036,FALSE,Missile Command,0.17,Atari,Shooter,1980,2600
546,Wizard of Oz Free Slots Casino,482246,10.0 M,4,0.4,GAME CASINO,377560,57203,20891,7865,18725,FALSE,Mario Paint,0.54,Nintendo,Misc,1992,SNES
547,Dummy ดัมมี่ ไพ่แคง เกมไพ่ฟรี,477132,10.0 M,4,227105.7,GAME CASINO,367411,48463,28359,9074,23822,FALSE,Assassin's Creed IV: Black Flag,1.31,Ubisoft,Action,2013,PS4
548,Full House Casino - Free Vegas Slots Machine Games,455282,5.0 M,4,0.1,GAME CASINO,365871,33169,22482,7247,26511,FALSE,Pokémon Stadium 2,0.36,Nintendo,Strategy,2000,N64
549,Slots (Golden HoYeah) - Casino Slots,431936,10.0 M,4,0.6,GAME CASINO,299466,49060,33254,12770,37384,FALSE,Metroid,0.31,Nintendo,Action,1986,NES
550,Luxy Poker-Online Texas Holdem,423010,5.0 M,4,0.3,GAME CASINO,298900,42958,25401,11181,44567,FALSE,L.A. Noire,0.94,Take-Two Interactive,Adventure,2011,X360
551,Vegas Slots - DoubleDown Casino,422035,10.0 M,4,0.5,GAME CASINO,286143,56390,26064,15856,37580,FALSE,Call of Duty 3,0.93,Activision,Shooter,2006,X360
552,Texas HoldEm Poker Deluxe,401912,10.0 M,4,0.0,GAME CASINO,280648,56377,27394,8958,28533,FALSE,The Legend of Zelda: A Link to the Past,0.52,Nintendo,Action,2002,GBA
553,เก้าเกไทย,394704,10.0 M,4,0.1,GAME CASINO,309185,26459,17197,8513,33346,FALSE,Onimusha: Warlords,0.48,Virgin Interactive,Action,2001,PS2
554,Cashman Casino: Casino Slots Machines! 2M Free!,392274,10.0 M,4,1.1,GAME CASINO,289544,46703,20683,9892,25450,FALSE,Mortal Kombat X,0.76,Warner Bros. Interactive Entertainment,Fighting,2015,PS4
555,Slots: Heart of Vegas™ – Free Casino Slots Games,377401,10.0 M,4,0.3,GAME CASINO,258486,45068,23157,11678,39010,FALSE,Mario Party,0.53,Nintendo,Misc,1998,N64
556,Casino Jackpot Slots - Infinity Slots™ 777 Game,367694,1.0 M,4,0.1,GAME CASINO,278174,55844,18491,4517,10665,FALSE,Madden NFL 12,0.11,Electronic Arts,Sports,2011,X360
557,my KONAMI Slots - Casino Games & Fun Slot Machines,351166,5.0 M,4,0.5,GAME CASINO,248240,47419,22591,9903,23011,FALSE,LEGO Star Wars II: The Original Trilogy,0.64,LucasArts,Action,2006,PS2
558,POP! Slots ™- Free Vegas Casino Slot Machine Games,343727,10.0 M,4,2.8,GAME CASINO,277118,21504,10762,6273,28067,FALSE,Madden NFL 11,0.12,Electronic Arts,Sports,2010,X360
559,Tycoon Casino Free Slots: Vegas Slot Machine Games,333168,5.0 M,4,0.9,GAME CASINO,293637,16901,7210,3485,11931,FALSE,Mario vs. Donkey Kong: Mini-Land Mayhem!,0.52,Nintendo,Puzzle,2010,DS
560,GSN Casino: Slots and Casino Games - Vegas Slots,318101,10.0 M,4,0.2,GAME CASINO,218298,35139,19922,11200,33540,FALSE,Skate 3,0.98,Electronic Arts,Sports,2010,X360
561,Slots Pharaoh's Way Casino Games & Slot Machine,316679,10.0 M,4,0.1,GAME CASINO,252941,33956,12697,4255,12827,FALSE,Burnout 3: Takedown,1.11,Electronic Arts,Racing,2004,PS2
562,Lotsa Slots - Free Vegas Casino Slot Machines,313214,10.0 M,4,3.2,GAME CASINO,244252,38385,15608,4462,10504,FALSE,Yokai Watch 2 Shinuchi,0,Level 5,Role-Playing,2014,3DS
563,Big Fish Casino - Play Slots and Casino Games,312113,10.0 M,4,0.0,GAME CASINO,238241,41399,13246,4698,14526,FALSE,Need for Speed: Shift,1.41,Electronic Arts,Racing,2009,PS3
564,Tiến lên Miền Nam - Tiến Lên - ZingPlay,306937,10.0 M,4,0.8,GAME CASINO,248156,14000,6875,3866,34038,FALSE,Final Fantasy XIII-2,0.75,Square Enix,Role-Playing,2011,PS3
565,Club Vegas 2021: New Slots Games & Casino bonuses,306128,5.0 M,4,4.9,GAME CASINO,266535,19491,6879,2721,10498,FALSE,Mortal Kombat,0.63,Arena Entertainment,Fighting,1992,GEN
566,麻將 明星3缺1麻將–台灣16張麻將Mahjong 、SLOT、Poker,292630,5.0 M,4,0.5,GAME CASINO,207533,29742,13572,5187,36593,FALSE,Call Of Duty 2: Big Red One,0.92,Activision,Shooter,2005,PS2
567,Billionaire Casino Slots - The Best Slot Machines,272892,10.0 M,4,1.1,GAME CASINO,194550,29431,13763,6678,28469,FALSE,Guitar Hero: World Tour,0.64,Activision,Misc,2008,X360
568,Jackpot World™ - Free Vegas Casino Slots,272095,5.0 M,4,225.1,GAME CASINO,206509,33265,13164,4388,14767,FALSE,Medal of Honor,01.09,Electronic Arts,Shooter,1998,PS
569,"GAMEE Prizes - Play Free Games, WIN REAL CASH!",266126,10.0 M,4,5550.2,GAME CASINO,176379,35942,22679,9287,21836,FALSE,Fable,0.58,Microsoft Game Studios,Role-Playing,2004,XB
570,NEW SLOTS 2021－free casino games & slot machines,265946,5.0 M,4,0.9,GAME CASINO,219920,23950,8698,2822,10553,FALSE,Hannah Montana,0.8,Disney Interactive Studios,Action,2006,DS
571,Quick Hit Casino Games - Free Casino Slots Games,264556,10.0 M,4,0.5,GAME CASINO,189320,36506,18622,5091,15015,FALSE,Tom Clancy's Splinter Cell,1.11,Ubisoft,Action,2003,PS2
572,Tongits Go-Exciting and Competitive Card Game,258755,10.0 M,4,6.1,GAME CASINO,222685,12554,7642,3397,12474,FALSE,Skylanders Giants,0.88,Activision,Action,2012,Wii
573,Gaminator Casino Slots - Play Slot Machines 777,215021,5.0 M,4,1.0,GAME CASINO,170145,17010,7086,3398,17380,FALSE,Medal of Honor Heroes,1.11,Electronic Arts,Shooter,2006,PSP
574,ไพ่เท็กซัสโบย่า-Boyaa Texas Poker โป๊กเกอร์มือโปร,211680,5.0 M,4,0.2,GAME CASINO,160936,22352,11006,3828,13555,FALSE,Super Mario Bros.: The Lost Levels,0,Nintendo,Platform,1986,NES
575,Double Win Casino Slots - Free Video Slots Games,211511,1.0 M,4,1.1,GAME CASINO,174952,18748,7633,2843,7333,FALSE,Star Wars: Shadows of the Empire,0.5,Nintendo,Action,1996,N64
576,UTP - Ultimate Teen Patti (3 Patti),208279,10.0 M,4,0.4,GAME CASINO,146678,19467,7368,4159,30605,FALSE,LEGO Star Wars: The Complete Saga,0.87,LucasArts,Action,2007,X360
577,Free Slot Machines with Bonus Games!,207326,5.0 M,4,0.2,GAME CASINO,189655,7941,3925,1388,4415,FALSE,Midnight Club: Street Racing,0.47,Take-Two Interactive,Racing,2000,PS2
578,Hot Shot Casino Free Slots Games: Real Vegas Slots,204371,5.0 M,4,0.2,GAME CASINO,147841,26775,14092,3867,11793,FALSE,Pac-Man: Adventures in Time,1.1,Sony Computer Entertainment,Fighting,2006,PSP
579,Bingo Tycoon,189656,10.0 M,4,54.5,GAME CASINO,127766,19807,11872,6245,23964,FALSE,Halo Wars,0.82,Microsoft Game Studios,Strategy,2009,X360
580,Coin Dozer: Casino,183628,5.0 M,4,0.6,GAME CASINO,141239,20865,10352,3829,7340,FALSE,God of War Collection,0.46,Sony Computer Entertainment,Action,2009,PS3
581,MONOPOLY Slots - Slot Machines,179520,5.0 M,4,1.1,GAME CASINO,139632,11699,5599,3789,18798,FALSE,ESPN NFL 2K5,0.12,Sega,Sports,2004,PS2
582,Willy Wonka Slots Free Casino,179001,1.0 M,4,0.5,GAME CASINO,138485,21446,8344,2918,7805,FALSE,Mario Strikers Charged,01.06,Nintendo,Sports,2007,Wii
583,88 Fortunes Casino Games & Free Slot Machine Games,177051,1.0 M,4,0.7,GAME CASINO,154436,8822,3644,1672,8474,FALSE,Medal of Honor,0.81,Electronic Arts,Shooter,2010,X360
584,Roulette Royale - FREE Casino,174066,10.0 M,4,1.4,GAME CASINO,123770,19227,11002,5367,14697,FALSE,FIFA Soccer 10,1.79,Electronic Arts,Sports,2009,X360
585,Slots Free - Big Win Casino™,173372,5.0 M,4,0.0,GAME CASINO,126569,21203,10941,4076,10581,FALSE,NBA 2K12,0.14,Take-Two Interactive,Sports,2011,X360
586,Pmang Poker : Casino Royal,172651,5.0 M,4,0.7,GAME CASINO,106066,26042,13410,4426,22704,FALSE,Style Savvy,0.84,Nintendo,Simulation,2008,DS
587,Slotpark - Online Casino Games & Free Slot Machine,172200,5.0 M,4,1.4,GAME CASINO,123431,19427,8684,4217,16439,FALSE,Harry Potter and the Chamber of Secrets,1.22,Electronic Arts,Action,2002,PS2
588,Slots Casino - Jackpot Mania,170510,5.0 M,4,0.3,GAME CASINO,144759,10409,4881,2271,8188,FALSE,Super Mario All-Stars: Limited Edition,0.52,Nintendo,Platform,2010,Wii
589,Bingo by Alisa - Free Live Multiplayer Bingo Games,154112,1.0 M,4,0.0,GAME CASINO,119255,21177,7308,2113,4257,FALSE,Streets of Rage,0.55,Sega,Action,1990,GEN
590,Poker Texas Boyaa,146663,5.0 M,3,0.1,GAME CASINO,84613,13974,13184,5793,29096,FALSE,FIFA Soccer 09,1.63,Electronic Arts,Sports,2008,PS3
591,Scratch Day,145635,5.0 M,3,0.1,GAME CASINO,88085,17381,12934,5744,21490,FALSE,Ratchet & Clank Future: Tools of Destruction,1.12,Sony Computer Entertainment,Platform,2007,PS3
592,Cổng game ZingPlay - Game bài - Game cờ - Tiến lên,142948,10.0 M,3,1.5,GAME CASINO,95538,7899,5039,2809,31659,FALSE,NBA Live 2005,0.21,Electronic Arts,Sports,2004,PS2
593,Slot Machine - FREE Casino,141345,10.0 M,4,11.4,GAME CASINO,83149,26077,14384,5285,12447,FALSE,LittleBigPlanet,1.24,Sony Computer Entertainment,Platform,2009,PSP
594,Rock N' Cash Casino Slots -Free Vegas Slot Games,140882,1.0 M,4,2.5,GAME CASINO,103574,20093,9394,2580,5239,FALSE,Killzone: Shadow Fall,1.33,Sony Computer Entertainment,Shooter,2013,PS4
595,Slots: Get Rich Free Slots Casino Games Offline,139860,1.0 M,4,0.7,GAME CASINO,126642,5717,2420,1095,3984,FALSE,Ghostbusters: The Video Game (DS Version),1.24,Take-Two Interactive,Action,2009,X360
596,Bingo Journey - Lucky & Fun Casino Bingo Games,138883,1.0 M,4,2.4,GAME CASINO,103586,18665,8883,2911,4835,FALSE,Monster Hunter Freedom 2,0.27,Capcom,Role-Playing,2007,PSP
