rank,title,total ratings,installs,average rating,growth (30 days),category,5 star ratings,4 star ratings,3 star ratings,2 star ratings,1 star ratings,paid,Name,EU_Sales,Publisher,Genre,Year,Platform
870,Cytus II,111679,1.0 M,4,0.8,GAME MUSIC,88842,11945,4620,1947,4322,TRUE,Kirby Squeak Squad,0.03,Nintendo,Platform,2006,DS
871,Just Dance Controller,108187,10.0 M,3,0.5,GAME MUSIC,59335,11560,7264,4883,25143,FALSE,Tom Clancy's Rainbow Six: Vegas,0.65,Ubisoft,Shooter,2006,X360
872,VOEZ,107328,1.0 M,4,0.3,GAME MUSIC,68411,16535,8083,3916,10381,FALSE,Destiny,0.49,Activision,Shooter,2014,X360
873,ラブライブ！スクールアイドルフェスティバル（スクフェス） - 大人気リズムゲーム,105984,1.0 M,4,0.0,GAME MUSIC,73443,12242,6752,3858,9686,FALSE,Crash Nitro Kart,01.01,Vivendi Games,Racing,2003,PS2
874,Au Mobile VTC – Game nhảy Audition,104261,5.0 M,3,0.2,GAME MUSIC,43790,6890,6890,5510,41180,FALSE,Grand Theft Auto: San Andreas,0.61,Take-Two Interactive,Action,2005,XB
875,BanG Dream! Girls Band Party!,102536,1.0 M,4,1.9,GAME MUSIC,80964,9639,4027,2113,5791,FALSE,Star Wars: Dark Forces,0.77,LucasArts,Shooter,1994,PC
876,UniPad,102133,5.0 M,4,0.0,GAME MUSIC,65640,10602,6764,3607,15518,FALSE,NBA Street Vol. 2,0.2,Electronic Arts,Sports,2003,PS2
877,Drum set,97355,10.0 M,4,0.0,GAME MUSIC,64307,12188,8931,3576,8351,FALSE,Def Jam Vendetta,0.74,Electronic Arts,Fighting,2003,PS2
878,Piano Magic Tiles Pop Music 2,95540,10.0 M,4,1.5,GAME MUSIC,62900,9673,6076,4057,12831,FALSE,FIFA Soccer 09,1.26,Electronic Arts,Sports,2008,X360
879,Piano - Play & Learn Music,87197,10.0 M,3,2.0,GAME MUSIC,54591,6688,5454,4070,16392,FALSE,Who wants to be a millionaire,0,Disney Interactive Studios,Misc,1999,PC
880,Piano Fire - EDM Music & New Rhythm,87091,10.0 M,4,19.7,GAME MUSIC,71476,5527,3071,1731,5282,FALSE,Scooby Doo and the Cyber Chase,1.23,THQ,Adventure,2001,PS
881,Piano Master 2,86693,10.0 M,4,0.0,GAME MUSIC,56117,12116,6432,3226,8800,FALSE,Alleyway,0.38,Nintendo,Puzzle,1989,GB
882,Piano Games Mini: Music Instrument & Rhythm,83342,10.0 M,4,0.8,GAME MUSIC,61458,6680,4012,2459,8731,FALSE,Dragon Ball Z: Budokai 3,0.15,Atari,Fighting,2004,PS2
883,LIT killah: The Game,82629,1.0 M,4,2.0,GAME MUSIC,66304,6988,2885,1537,4912,FALSE,Jet Moto 2,0.42,Sony Computer Entertainment,Racing,1997,PS
884,Rock vs Guitar Legends 2017 HD,71117,5.0 M,3,1446.7,GAME MUSIC,37347,8774,10183,3008,11802,FALSE,Tom Clancy's Ghost Recon,0.4,Ubisoft,Shooter,2002,PS2
885,Love Live! School idol festival - 音樂節奏遊戲,71008,1.0 M,4,0.0,GAME MUSIC,51391,7698,4139,1859,5918,FALSE,X-Men Legends,0.72,Activision,Role-Playing,2004,PS2
886,Beat Bop: Pop Star Clicker,69242,100.0 k,4,0.1,GAME MUSIC,51096,9117,5438,1059,2529,FALSE,Batman: Arkham Origins,0.61,Warner Bros. Interactive Entertainment,Action,2013,X360
887,Don't Forget the Lyrics,68321,5.0 M,4,0.7,GAME MUSIC,39709,11266,6684,3560,7100,FALSE,Guitar Hero: World Tour,0.56,Activision,Misc,2008,PS3
888,6ix9ine Runner,67388,5.0 M,4,2.1,GAME MUSIC,54348,4150,2189,1174,5524,FALSE,Mortal Kombat II,0.39,Acclaim Entertainment,Fighting,1993,SNES
889,Beat Roller - Music Ball Race,65897,10.0 M,4,0.7,GAME MUSIC,39278,12259,3699,2329,8329,FALSE,Virtua Fighter 2,0.26,Sega,Fighting,1995,SAT
890,アイドルマスター シンデレラガールズ スターライトステージ,65210,1.0 M,4,0.2,GAME MUSIC,44969,8419,4498,2084,5237,FALSE,Tetris DX,0.6,Nintendo,Puzzle,1998,GB
891,Marshmello Music Dance,64028,10.0 M,4,3.0,GAME MUSIC,52167,3567,2048,1418,4826,FALSE,Mortal Kombat vs. DC Universe,0.24,Midway Games,Fighting,2008,X360
892,Drum kit (Drums) free,60920,10.0 M,4,0.1,GAME MUSIC,38319,6683,5388,2430,8098,FALSE,Watch Dogs,0.89,Ubisoft,Action,2014,PS3
893,Tebak Lagu Indonesia,56963,1.0 M,4,0.0,GAME MUSIC,31363,9224,9663,2443,4268,FALSE,Mario Super Sluggers,0,Nintendo,Sports,2008,Wii
894,Lost in Harmony,56107,1.0 M,4,0.1,GAME MUSIC,45083,5276,2158,1109,2478,FALSE,Tomb Raider (2013),0.87,Square Enix,Action,2013,X360
895,Real Piano Teacher 2,55578,1.0 M,4,0.8,GAME MUSIC,37028,7639,4729,1929,4249,FALSE,The Legend of Zelda: Oracle of Ages,0.53,Nintendo,Action,2001,GB
896,SHOW BY ROCK!![爽快音ゲー ショウバイロック］,55357,500.0 k,4,0.0,GAME MUSIC,30635,15762,5493,1738,1728,FALSE,Need for Speed: Shift,0.97,Electronic Arts,Racing,2009,X360
897,Beat Racer,55015,1.0 M,4,0.2,GAME MUSIC,35154,7096,4617,1909,6237,FALSE,Monopoly,0.85,Electronic Arts,Misc,2008,Wii
898,AyoDance Mobile,54079,1.0 M,3,0.3,GAME MUSIC,29528,3838,4178,2848,13684,FALSE,Red Faction,0.96,THQ,Shooter,2001,PS2
899,Beat Jumper: EDM up!,53791,10.0 M,4,1.8,GAME MUSIC,37386,5789,3922,1837,4855,FALSE,The Sims: Makin' Magic,0.8,Electronic Arts,Simulation,2003,PC
900,Popscene (Music Industry Sim),53142,1.0 M,3,0.5,GAME MUSIC,27811,6397,5002,3188,10741,FALSE,MX Unleashed,0.73,THQ,Racing,2004,PS2
901,Rock Hero 2,52940,5.0 M,3,0.2,GAME MUSIC,31781,6806,3787,2298,8265,FALSE,PaRappa The Rapper,0.16,Sony Computer Entertainment,Misc,1996,PS
902,PianoTiles 3,50867,5.0 M,3,3.1,GAME MUSIC,28083,5616,3754,2763,10648,FALSE,Toy Story Mania!,0.67,Disney Interactive Studios,Misc,2009,Wii
903,SuperStar YG,48198,500.0 k,4,3.9,GAME MUSIC,37036,5112,2158,1334,2556,FALSE,Mario Party 3,0.16,Nintendo,Misc,2000,N64
904,Opsu!(Beatmap player for Android),48107,1.0 M,3,2.8,GAME MUSIC,22453,6626,5140,2852,11033,FALSE,Star Wars: The Force Unleashed,0.57,LucasArts,Action,2008,Wii
905,Dynamix,47959,1.0 M,4,0.4,GAME MUSIC,32842,6648,3169,1469,3829,FALSE,Game Party 2,0.44,Midway Games,Misc,2008,Wii
906,アイドリッシュセブン,47171,500.0 k,4,0.2,GAME MUSIC,37830,5098,1941,836,1463,FALSE,Destiny: The Taken King,0.78,Activision,Shooter,2015,PS4
907,Beat Blade: Dash Dance,46210,10.0 M,4,0.1,GAME MUSIC,30610,6215,3317,1743,4323,FALSE,LEGO Star Wars III: The Clone Wars,0.66,LucasArts,Action,2011,Wii
908,Color Hop 3D - Music Game,45842,10.0 M,4,4.6,GAME MUSIC,30296,3539,2428,2101,7475,FALSE,Star Wars Rogue Leader: Rogue Squadron II,0.75,LucasArts,Simulation,2001,GC
909,Au 2 - Chuẩn Audition Mobile,45178,1.0 M,4,1.2,GAME MUSIC,34403,2928,1619,1109,5117,FALSE,Max Payne 3,0.92,Take-Two Interactive,Shooter,2012,PS3
910,Mini Piano,45003,5.0 M,3,0.0,GAME MUSIC,22326,4329,4399,2799,11148,FALSE,Need for Speed Rivals,0.91,Electronic Arts,Racing,2013,PS4
911,YASUHATI / With your voice!,43497,5.0 M,4,0.2,GAME MUSIC,29234,4587,3328,1549,4797,FALSE,Madden NFL 09,0.15,Electronic Arts,Sports,2008,PS3
912,Beat Shooter,43124,5.0 M,4,1.2,GAME MUSIC,32760,3038,1928,1089,4307,FALSE,Yokai Watch,0.3,Nintendo,Role-Playing,2013,3DS
913,Anime Tiles: Piano Music,42881,1.0 M,3,4.3,GAME MUSIC,23820,6247,3976,2538,6297,FALSE,Ratchet & Clank Future: A Crack in Time,0.54,Sony Computer Entertainment,Platform,2009,PS3
914,Happy Piano - Touch Music,42763,1.0 M,4,0.1,GAME MUSIC,31694,3989,2779,1109,3189,FALSE,Yu-Gi-Oh! Forbidden Memories,0.44,Konami Digital Entertainment,Role-Playing,1999,PS
915,Project: Muse,41521,1.0 M,4,1.7,GAME MUSIC,26336,6930,3484,1871,2897,FALSE,Mortal Kombat: Deception,0.72,Midway Games,Fighting,2004,PS2
916,Beat Shooter - Gunshots Rhythm Game,40370,10.0 M,4,21.2,GAME MUSIC,31297,3395,1483,1036,3157,FALSE,Hot Shots Golf 2,0.12,Sony Computer Entertainment,Sports,1999,PS
917,Pink Piano,40192,10.0 M,4,1.5,GAME MUSIC,27089,2471,2044,1677,6908,FALSE,Medal of Honor: European Assault (All Region sales),0.69,Electronic Arts,Shooter,2005,PS2
918,プロジェクトセカイ カラフルステージ！ feat. 初音ミク,38912,1.0 M,4,7.3,GAME MUSIC,27999,5085,2443,1157,2226,FALSE,WCW Nitro,0.36,THQ,Fighting,1998,PS
919,Piano Music Tiles 2 - Free Music Games,37291,5.0 M,3,3.2,GAME MUSIC,13975,3720,3521,3043,13030,FALSE,High School Musical: Sing It!,0.08,Disney Interactive Studios,Misc,2007,PS2
920,Harmonium,36046,10.0 M,4,2.9,GAME MUSIC,26252,3277,1873,886,3756,FALSE,Star Fox Adventures,0.53,Nintendo,Adventure,2002,GC
921,TAPSONIC TOP - Music Grand prix,35324,1.0 M,4,1.3,GAME MUSIC,24495,5029,2569,869,2359,FALSE,FIFA 2000,1.47,Electronic Arts,Sports,1998,PS
922,Magic Tiles Vocal & Piano Top Songs New Games,34781,5.0 M,4,2.4,GAME MUSIC,24705,4583,1947,838,2706,FALSE,Dynasty Warriors 3,0.16,THQ,Action,2001,PS2
923,Piano Detector,34434,1.0 M,4,0.4,GAME MUSIC,23468,3894,2256,998,3814,FALSE,Donkey Kong Country Returns,0.62,Nintendo,Platform,2013,3DS
924,Muse Dash,34140,100.0 k,4,768.5,GAME MUSIC,29210,2774,718,429,1007,TRUE,The Legend of Zelda: Oracle of Seasons,0.52,Nintendo,Adventure,2001,GB
925,Lanota - Dynamic & Challenging Music Game,33173,1.0 M,4,0.8,GAME MUSIC,26494,3628,1405,528,1116,FALSE,Madden NFL 06,0.03,Electronic Arts,Sports,2005,XB
926,Berpacu Dalam Melody Indonesia,32993,1.0 M,4,0.0,GAME MUSIC,19715,5998,4988,849,1439,FALSE,Shrek 2,0.69,Activision,Platform,2004,PS2
927,Fishdom,4876844,100.0 M,4,1.0,GAME PUZZLE,3641850,439299,231737,124487,439469,FALSE,The Legend of Dragoon,0.44,Sony Computer Entertainment,Role-Playing,1999,PS
928,Brain Out – Can you pass it?,4467655,100.0 M,4,1.8,GAME PUZZLE,3390163,421521,211538,99383,345048,FALSE,Turok 2: Seeds of Evil,0.41,Acclaim Entertainment,Platform,1997,N64
929,Toon Blast,3222428,50.0 M,4,1.0,GAME PUZZLE,2556112,384991,149188,39049,93086,FALSE,SingStar,1.37,Sony Computer Entertainment,Misc,2004,PS2
930,Toy Blast,2941258,50.0 M,4,0.5,GAME PUZZLE,2267242,373376,152797,45384,102457,FALSE,LittleBigPlanet 3,0.92,Sony Computer Entertainment,Platform,2014,PS4
931,Bubble Witch 3 Saga,2514879,50.0 M,4,0.4,GAME PUZZLE,1916271,353214,112067,37981,95344,FALSE,NBA Live 2002,0.71,Electronic Arts,Sports,2001,PS2
932,Cut the Rope 2,2301209,100.0 M,4,0.1,GAME PUZZLE,1810251,255614,102894,33835,98612,FALSE,Phineas and Ferb,0.37,Disney Interactive Studios,Action,2009,DS
933,Where's My Water? 2,2151126,100.0 M,4,0.2,GAME PUZZLE,1461033,221781,145555,76086,246668,FALSE,Chrono Cross,0.42,SquareSoft,Role-Playing,1999,PS
934,Empires & Puzzles: Epic Match 3,2107067,50.0 M,4,0.7,GAME PUZZLE,1424833,234631,132332,75143,240126,FALSE,GoldenEye 007 (2010),0.71,Activision,Action,2010,Wii
935,Pixel Art: Color by Number,2065276,100.0 M,4,633.0,GAME PUZZLE,1558040,233777,105530,45513,122413,FALSE,Mario Party: Island Tour,0.59,Nintendo,Misc,2013,3DS
936,Matchington Mansion,1951302,50.0 M,4,1.1,GAME PUZZLE,1406839,263363,115542,47833,117722,FALSE,Jak 3,0.49,Sony Computer Entertainment,Platform,2004,PS2
937,Disney Frozen Free Fall - Play Frozen Puzzle Games,1713085,50.0 M,4,0.1,GAME PUZZLE,1268094,258390,86945,28762,70892,FALSE,Rayman Raving Rabbids 2,0.82,Ubisoft,Misc,2007,Wii
938,Sudoku.com - Free Sudoku,1704670,50.0 M,4,1.1,GAME PUZZLE,1254531,307541,79949,18011,44635,FALSE,Kingdom Hearts: Chain of Memories,0.18,Square Enix,Role-Playing,2004,GBA
939,ضربة معلم - لعبة الغاز مسلية,1701889,10.0 M,4,1.3,GAME PUZZLE,1416736,103007,67437,31868,82838,FALSE,Pinball,0.19,Nintendo,Action,1984,NES
940,Candy Crush Jelly Saga,1652333,100.0 M,4,0.5,GAME PUZZLE,1199685,241711,99714,31883,79338,FALSE,inFAMOUS 2,0.49,Sony Computer Entertainment,Action,2011,PS3
941,Roll the Ball® - slide puzzle,1561049,100.0 M,4,0.1,GAME PUZZLE,994338,242232,126119,51089,147270,FALSE,Gran Turismo Concept 2001 Tokyo,1.1,Unknown,Racing,2001,PS2
942,Block Puzzle Jewel,1557099,100.0 M,4,1.0,GAME PUZZLE,1068366,190532,105960,50031,142208,FALSE,Demon's Souls,0.34,Namco Bandai Games,Role-Playing,2009,PS3
943,Flow Free,1455893,100.0 M,4,142.6,GAME PUZZLE,1021457,195457,91530,41930,105517,FALSE,NCAA Football 06,0.05,Electronic Arts,Sports,2005,PS2
944,2048 Number puzzle game,1361162,10.0 M,4,134.8,GAME PUZZLE,873731,251904,104041,49104,82379,FALSE,"Hey You, Pikachu!",0.06,Nintendo,Simulation,1998,N64
945,Escape Titanic,1265308,10.0 M,4,0.0,GAME PUZZLE,980240,108412,62854,22734,91066,FALSE,2 Games in 1: Sonic Advance & ChuChu Rocket!,0.49,THQ,Misc,2005,GBA
946,Bad Piggies,1232582,50.0 M,4,0.1,GAME PUZZLE,905234,131252,71105,25952,99036,FALSE,World of Warcraft: Mists of Pandaria,0.76,Activision,Role-Playing,2012,PC
947,Manor Cafe,1210485,10.0 M,4,0.7,GAME PUZZLE,902546,176537,68702,19301,43397,FALSE,Jet Moto,0.4,Sony Computer Entertainment,Racing,1996,PS
948,LINE：ディズニー ツムツム,1198499,10.0 M,3,0.1,GAME PUZZLE,569538,254994,163385,62002,148577,FALSE,Just Cause 3,01.02,Square Enix,Action,2015,PS4
949,Bubble Shooter: Panda Pop!,1160505,50.0 M,4,0.2,GAME PUZZLE,875961,158170,55526,20293,50553,FALSE,Secret of Mana,0.07,SquareSoft,Role-Playing,1993,SNES
950,Merge Dragons!,1160229,10.0 M,4,1.0,GAME PUZZLE,809178,210244,67354,21742,51708,FALSE,The Orange Box,0.54,Electronic Arts,Shooter,2007,X360
951,Cut the Rope: Time Travel,1110248,50.0 M,4,0.1,GAME PUZZLE,885876,116537,44258,14299,49275,FALSE,Air Combat,0.33,Sony Computer Entertainment,Simulation,1995,PS
952,Cookie Jam™ Match 3 Games | Connect 3 or More,1104361,50.0 M,4,0.5,GAME PUZZLE,788438,195027,60848,20236,39809,FALSE,Kirby: Triple Deluxe,0.34,Nintendo,Platform,2014,3DS
953,Lily’s Garden,1065264,10.0 M,4,1.8,GAME PUZZLE,832411,119697,50381,20597,42175,FALSE,Sonic & Knuckles,0.43,Sega,Platform,1994,GEN
954,Jigsaw Puzzles - Puzzle Games,1039836,10.0 M,4,2.3,GAME PUZZLE,736089,201323,65426,13651,23345,FALSE,Namco Museum,0.07,Namco Bandai Games,Misc,2001,PS2
955,Indy Cat for VK,998983,5.0 M,4,0.0,GAME PUZZLE,931620,35619,10710,5345,15686,FALSE,The Sims: Hot Date,0,Electronic Arts,Simulation,2001,PC
956,애니팡2,997666,10.0 M,3,0.0,GAME PUZZLE,515259,198338,117823,46204,120039,FALSE,Metroid Prime 3: Corruption,0.74,Nintendo,Shooter,2007,Wii
957,Can You Escape,975608,10.0 M,4,0.0,GAME PUZZLE,611973,208216,82752,17876,54788,FALSE,Dragon Quest VI: Realms of Revelation,0.21,Nintendo,Role-Playing,2010,DS
958,Happy Glass,968677,100.0 M,3,0.7,GAME PUZZLE,586764,100779,77199,50085,153849,FALSE,The Evil Within,0.84,Bethesda Softworks,Action,2014,PS4
959,Two Dots,944709,10.0 M,4,1.3,GAME PUZZLE,643024,163847,53900,21376,62560,FALSE,DDRMAX2: Dance Dance Revolution,0.59,Konami Digital Entertainment,Simulation,2003,PS2
960,Tower of Saviors,941228,10.0 M,4,0.1,GAME PUZZLE,622828,101496,47377,20562,148963,FALSE,Crazy Taxi,0.51,Sega,Racing,2000,DC
961,Shoot Bubble Deluxe,924459,100.0 M,4,0.0,GAME PUZZLE,691718,101102,57033,19277,55325,FALSE,Virtua Fighter 4,0.44,Sega,Fighting,2002,PS2
962,Pirate Treasures - Gems Puzzle,884220,50.0 M,4,0.2,GAME PUZZLE,672791,95015,36419,18973,61021,FALSE,Sly 2: Band of Thieves,0.69,Sony Computer Entertainment,Platform,2004,PS2
963,Doodle Alchemy,819672,10.0 M,4,0.2,GAME PUZZLE,633312,108225,42934,12432,22766,FALSE,Guitar Hero: World Tour,0.03,Activision,Misc,2008,PS2
964,Escape game : 50 rooms 1,754345,10.0 M,4,1.3,GAME PUZZLE,516134,122842,56446,18848,40072,FALSE,Sonic Advance 2,0.59,Sega,Platform,2002,GBA
965,Infinity Loop ®,735564,10.0 M,4,0.7,GAME PUZZLE,586868,90997,26745,9261,21690,FALSE,Madden NFL 07,0,Electronic Arts,Sports,2006,X360
966,Jigty Jigsaw Puzzles,721199,10.0 M,4,0.0,GAME PUZZLE,600677,52736,26857,8992,31933,FALSE,NBA 2K11,0.21,Take-Two Interactive,Action,2010,PS3
967,Unblock Me FREE,701845,50.0 M,4,0.0,GAME PUZZLE,539528,78197,35664,12690,35764,FALSE,NFL GameDay 2000,0.68,989 Studios,Sports,1999,PS
968,Sudoku - Free Classic Sudoku Puzzles,701221,10.0 M,4,6.8,GAME PUZZLE,519848,129208,34746,5986,11431,FALSE,Call of Duty: Black Ops 3,0.96,Activision,Shooter,2015,PS3
969,Bubble Blast 2,699239,10.0 M,4,0.0,GAME PUZZLE,458200,129823,50977,23198,37038,FALSE,Disney's The Lion King,0.39,Virgin Interactive,Platform,1994,SNES
970,Unblock Ball - Block Puzzle,694965,100.0 M,4,0.8,GAME PUZZLE,468482,86334,53179,23037,63930,FALSE,Beyond: Two Souls,0.88,Sony Computer Entertainment,Adventure,2013,PS3
971,Mouse,685364,10.0 M,4,169.9,GAME PUZZLE,463196,120923,48379,19969,32895,FALSE,Kinect Star Wars,0.57,Microsoft Game Studios,Action,2012,X360
972,Inside Out Thought Bubbles,673835,10.0 M,4,0.1,GAME PUZZLE,500676,79495,36922,17243,39498,FALSE,Midnight Club II,0.29,Take-Two Interactive,Racing,2003,PS2
973,MonsterBusters: Match 3 Puzzle,669939,10.0 M,4,0.0,GAME PUZZLE,535471,95701,22684,5194,10887,FALSE,Dragon Quest Monsters: Joker,0.03,Square Enix,Role-Playing,2006,DS
974,Love Balls,661430,100.0 M,4,0.2,GAME PUZZLE,422723,76767,53669,30462,77806,FALSE,SpongeBob SquarePants: SuperSponge,0.58,THQ,Action,2001,PS
975,Mr Bullet - Spy Puzzles,649024,100.0 M,4,1.0,GAME PUZZLE,442810,71356,41422,23585,69849,FALSE,The Getaway: Black Monday,01.01,Sony Computer Entertainment,Action,2004,PS2
976,LINE Bubble 2,643644,10.0 M,4,0.2,GAME PUZZLE,389089,106228,67787,21747,58790,FALSE,Professor Layton and the Mask of Miracle,0.95,Nintendo,Puzzle,2011,3DS
977,Mazes & More,608546,50.0 M,4,0.6,GAME PUZZLE,404176,74546,44217,22786,62819,FALSE,Just Cause 2,0.94,Square Enix,Action,2010,PS3
978,Matches Puzzle Game,596554,10.0 M,4,0.2,GAME PUZZLE,411377,105903,41525,11585,26160,FALSE,Dragon's Dogma,0.46,Capcom,Role-Playing,2012,PS3
979,パズル＆ドラゴンズ(Puzzle & Dragons),594490,10.0 M,3,0.1,GAME PUZZLE,332022,79166,56797,26915,99587,FALSE,The Legend of Zelda: The Wind Waker,0.57,Nintendo,Action,2013,WiiU
980,Sudoku,584124,10.0 M,4,0.1,GAME PUZZLE,458061,106350,10329,2675,6707,FALSE,50 Cent: Bulletproof,0.76,Vivendi Games,Action,2005,PS2
981,Marble Legend,571570,50.0 M,4,0.0,GAME PUZZLE,383776,73557,55320,16169,42746,FALSE,High School Musical: Sing It!,0.45,Disney Interactive Studios,Misc,2007,Wii
982,Hello Stars,570345,50.0 M,4,0.0,GAME PUZZLE,420021,43026,30999,18902,57395,FALSE,Wii Party U,0.54,Nintendo,Misc,2013,WiiU
983,Wood Block Puzzle,565614,50.0 M,4,0.1,GAME PUZZLE,429284,45646,29382,15814,45486,FALSE,Madden NFL 25,0.03,Electronic Arts,Sports,2013,PS3
984,Harry Potter: Puzzles & Spells - Match-3 Magic,554434,10.0 M,4,6.3,GAME PUZZLE,474823,41233,15227,7257,15890,FALSE,Final Fantasy II,0.09,Square,Role-Playing,1991,SNES
985,LINE: Disney Tsum Tsum,550425,10.0 M,4,0.1,GAME PUZZLE,357903,75666,39518,18329,59007,FALSE,Kirby 64: The Crystal Shards,0.06,Nintendo,Platform,2000,N64
986,Easy Game - Brain Test and Tricky Mind Puzzles,547548,10.0 M,4,1.1,GAME PUZZLE,389864,72820,30413,13849,40600,FALSE,Dead or Alive 3,0.29,Microsoft Game Studios,Fighting,2001,XB
987,Block! Hexa Puzzle™,546820,50.0 M,3,0.0,GAME PUZZLE,300160,90111,49226,29196,78124,FALSE,UFC 2009 Undisputed,0.45,THQ,Fighting,2009,PS3
988,Sweet Fruit Candy,541211,50.0 M,4,1.0,GAME PUZZLE,380589,73442,37922,13378,35878,FALSE,Metroid II: Return of Samus,0.31,Nintendo,Adventure,1991,GB
989,Cut the Rope: Experiments,540007,50.0 M,4,444.6,GAME PUZZLE,387875,56186,34325,15360,46259,FALSE,WWF Attitude,0.42,Acclaim Entertainment,Fighting,1998,PS
990,House Paint,530612,50.0 M,4,0.4,GAME PUZZLE,342051,69406,45347,23688,50117,FALSE,The SpongeBob SquarePants Movie,0.54,THQ,Platform,2004,PS2
991,Escape the Mansion,528900,5.0 M,4,0.1,GAME PUZZLE,374132,91668,41509,8309,13279,FALSE,Golden Sun,0.38,Nintendo,Role-Playing,2001,GBA
992,Block Puzzle - Free Classic Wood Block Puzzle Game,521894,10.0 M,4,5.8,GAME PUZZLE,355232,108346,38485,6823,13005,FALSE,Sonic the Hedgehog 3,0.47,Sega,Platform,1994,GEN
993,Dig This!,520896,50.0 M,4,0.5,GAME PUZZLE,367445,72031,23863,14116,43438,FALSE,Kid Icarus,0.12,Nintendo,Platform,1986,NES
994,Brain Wars,518428,10.0 M,4,0.0,GAME PUZZLE,358319,108094,26601,6815,18597,FALSE,Def Jam: Fight for NY,0.67,Electronic Arts,Fighting,2004,PS2
995,Nonogram.com - Picture cross number puzzle,512643,10.0 M,4,3.2,GAME PUZZLE,357322,101120,28132,8286,17780,FALSE,Tom Clancy's Ghost Recon,0.46,Ubisoft,Shooter,2002,XB
996,Gummy Drop! Match to restore and build cities,510656,10.0 M,4,0.1,GAME PUZZLE,337321,78723,33993,15936,44680,FALSE,State of Emergency,0.67,Take-Two Interactive,Action,2002,PS2
997,Charm King,509754,10.0 M,4,0.1,GAME PUZZLE,373628,59435,26925,12778,36986,FALSE,BioShock Infinite,0.69,Take-Two Interactive,Shooter,2013,PS3
998,Gemmy Lands: New Match 3 Games 2021 to Crush Gems,502640,10.0 M,4,0.3,GAME PUZZLE,399600,55407,20951,6877,19802,FALSE,Hitman: Absolution,0.9,Square Enix,Action,2012,X360
999,Energy: Anti Stress Loops,499265,10.0 M,4,3.6,GAME PUZZLE,408802,62489,14505,4285,9181,FALSE,2 Games in 1 Double Pack: The Incredibles / Finding Nemo: The Continuing Adventures,0.47,THQ,Action,2007,GBA
1000,Brain It On! - Physics Puzzles,491439,50.0 M,4,0.1,GAME PUZZLE,318746,82552,32565,17102,40471,FALSE,Call of Duty: Black Ops 3,0.48,Activision,Shooter,2015,X360
1001,Find The Differences - The Detective,490970,50.0 M,4,0.0,GAME PUZZLE,324781,38060,31659,22752,73715,FALSE,The Urbz: Sims in the City,0.95,Electronic Arts,Simulation,2004,PS2
1002,Disney Emoji Blitz,489067,10.0 M,4,0.6,GAME PUZZLE,325679,78321,33920,15720,35425,FALSE,FIFA Soccer 08,01.07,Electronic Arts,Sports,2007,PS3
1003,Troll Face Quest: Video Memes - Brain Game,485621,10.0 M,4,0.1,GAME PUZZLE,335295,44072,31284,17077,57890,FALSE,Star Wars: Starfighter,0.87,Activision,Simulation,2001,PS2
1004,Slugterra: Slug it Out 2,481615,10.0 M,4,6.2,GAME PUZZLE,412995,32366,11448,5054,19749,FALSE,Madden NFL 2000,0.04,Electronic Arts,Sports,1998,PS
1005,Cut the Rope: Magic,470475,10.0 M,4,0.1,GAME PUZZLE,346937,60356,26756,10175,26247,FALSE,Kingdom Hearts,0.37,Square Enix,Role-Playing,2013,PS3
1006,1010! Block Puzzle Game,466759,10.0 M,4,0.1,GAME PUZZLE,332243,64131,29683,11306,29394,FALSE,Star Wars: Battlefront,0.45,Activision,Shooter,2004,XB
1007,That Level Again,464014,10.0 M,4,0.5,GAME PUZZLE,383178,42022,15107,6078,17626,FALSE,Pro Evolution Soccer,0.9,Konami Digital Entertainment,Sports,2001,PS2
1008,Train Taxi,463260,50.0 M,4,752.0,GAME PUZZLE,294864,57247,41036,22447,47663,FALSE,Crackdown,0.54,Microsoft Game Studios,Shooter,2007,X360
1009,Sudoku,462036,10.0 M,4,172.6,GAME PUZZLE,375734,64079,10145,3534,8542,FALSE,Yoshi,0.13,Nintendo,Puzzle,1991,NES
1010,"ASolver - show me the puzzle, and I will solve it",460315,5.0 M,4,28.9,GAME PUZZLE,361695,36463,18076,9353,34725,FALSE,Disney's Aladdin,0.34,Capcom,Platform,1993,SNES
1011,Crazy Kitchen: Match 3 Puzzles,459320,10.0 M,4,0.0,GAME PUZZLE,398796,37824,12018,3187,7492,FALSE,Kirby's Adventure,0.14,Nintendo,Platform,1993,NES
1012,Tebak Gambar,453317,10.0 M,4,0.2,GAME PUZZLE,311581,43790,31309,17438,49197,FALSE,Cooking Mama 3: Shop & Chop,0.66,505 Games,Simulation,2009,DS
1013,Build a Bridge!,451860,10.0 M,4,0.6,GAME PUZZLE,286839,63628,36663,17826,46901,FALSE,Dance Dance Revolution X,0.66,Konami Digital Entertainment,Simulation,2008,PS2
1014,PixWords™,440665,10.0 M,4,0.0,GAME PUZZLE,355004,53499,15716,4832,11612,FALSE,2 Games in 1: Disney Princess & The Lion King,0.46,THQ,Misc,2004,GBA
1015,Match 3D - Matching Puzzle Game,420325,10.0 M,4,4.6,GAME PUZZLE,286657,61968,16908,13744,41045,FALSE,Star Wars Episode I: The Phantom Menace,0.89,LucasArts,Adventure,1999,PS
